iso3,country,region,subregion,disaggregation,disagg.value,section,Calcium_2016,Fruit_2016,Legumes_2016,Milk_2016,Nuts and seeds_2016,Omega 3_2016,Polyunsaturated fat_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar-sweetened beverages_2016,Trans fat_2016,Vegetables_2016,Whole grain_2016
NIC,Nicaragua,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.36,59.93,98.14,62.62,0.16,0.04,0.07,0.75,7.16,3.62,0.07,302.04,0.01,20.9,189.23
NIC,Nicaragua,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
NLD,Netherlands,Europe,Western Europe,location,National,Dietary needs,0.98,133.98,9.82,153.11,5.69,0.06,0.08,6.25,53.98,3.67,0.1,110.14,0.01,127.26,10.99
NLD,Netherlands,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
NOR,Norway,Europe,Northern Europe,location,National,Dietary needs,0.97,148.74,17.28,185.09,3.45,0.08,0.08,26.19,51.94,4.45,0.09,96.23,0,105.63,56.69
NOR,Norway,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
NPL,Nepal,Asia,Southern Asia,location,National,Dietary needs,0.31,74.86,54.2,42.32,2.07,0.03,0.06,0.77,9.61,5.28,0.04,72.91,0.01,191.3,23.89
NPL,Nepal,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
NRU,Nauru,Oceania,Micronesia,,,Dietary needs,,,,,,,,,,,,,,,
NZL,New Zealand,Oceania,Australia and New Zealand,location,National,Dietary needs,0.47,113.71,17.2,200.45,3.28,0.09,0.04,5.54,63.32,3.26,0.12,61.32,0.01,133.25,55.76
NZL,New Zealand,Oceania,Australia and New Zealand,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
OMN,Oman,Asia,Western Asia,location,National,Dietary needs,0.65,285.04,25.1,114.15,1.57,0.08,0.02,2.18,24.29,4.25,0.09,104.18,0,224.31,31.46
OMN,Oman,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PAK,Pakistan,Asia,Southern Asia,location,National,Dietary needs,0.42,44.61,33.9,70.99,0.82,0.03,0.01,1.14,10,5.26,0.09,102.57,0.01,55.21,21.97
PAK,Pakistan,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PAN,Panama,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.46,127.3,37.46,60.42,0.71,0.09,0.1,2.05,29.19,3.63,0.09,289.77,0.01,58.1,149.37
PAN,Panama,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
PER,Peru,Latin America and the Caribbean,South America,location,National,Dietary needs,0.45,112.53,23.35,26.23,0.36,0.04,0.06,0.73,13.13,3.82,0.07,90.71,0.01,82.68,95.86
PER,Peru,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
PHL,Philippines,Asia,South-eastern Asia,location,National,Dietary needs,0.18,144.5,12.13,7.93,1.61,0.04,0.02,1.71,22.58,2.89,0.08,94.4,0,136.41,19.39
PHL,Philippines,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PLW,Palau,Oceania,Micronesia,,,Dietary needs,,,,,,,,,,,,,,,
PNG,Papua New Guinea,Oceania,Melanesia,location,National,Dietary needs,0.21,66.48,14.62,13.88,0.01,0.02,0.02,0.55,13.55,2.59,0.14,97.13,0,52.89,17.65
PNG,Papua New Guinea,Oceania,Melanesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
POL,Poland,Europe,Eastern Europe,location,National,Dietary needs,0.68,76.2,11.61,106.39,1.19,0.08,0.03,3.34,51.1,4.53,0.08,104.22,0,252.87,18.95
POL,Poland,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia,location,National,Dietary needs,0.2,63.98,66.96,3.65,0.4,0.01,0.11,0.45,6.06,4.19,0.04,80.14,0,216.24,38.99
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
PRT,Portugal,Europe,Southern Europe,location,National,Dietary needs,0.72,119.52,15.12,156.34,2.53,0.07,0.05,3.03,55.52,4.12,0.08,90.25,0,234.61,33.79
PRT,Portugal,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
PRY,Paraguay,Latin America and the Caribbean,South America,location,National,Dietary needs,0.46,109.08,51.16,63.71,2.25,0.05,0.11,0.9,39.97,3.82,0.08,171.03,0,93.29,121.41
PRY,Paraguay,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
PSE,State of Palestine,Asia,Western Asia,location,National,Dietary needs,0.32,68.37,30.23,43.58,0.82,0.03,0.04,0.46,9.11,4.23,0.07,110.71,0,144.14,49.51
PSE,State of Palestine,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
QAT,Qatar,Asia,Western Asia,location,National,Dietary needs,0.92,261.33,54.19,181.85,24.03,0.17,0.06,4.27,28.91,4.25,0.07,108.3,0,523.3,27.39
QAT,Qatar,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
ROU,Romania,Europe,Eastern Europe,location,National,Dietary needs,1,93.64,10.8,93.64,1.83,0.05,0.04,5.39,49.79,4.62,0.07,89.17,0,395.78,19.58
ROU,Romania,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
RUS,Russian Federation,Europe,Eastern Europe,location,National,Dietary needs,0.69,80.64,12.14,99.07,2.5,0.09,0.03,6.97,33.27,3.85,0.07,105.9,0,179.39,19.1
RUS,Russian Federation,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
RWA,Rwanda,Africa,Eastern Africa,location,National,Dietary needs,0.34,222.41,161.5,15.29,0.6,0.01,0.02,0.47,4.41,2.61,0.05,83.74,0,82.74,33.22
RWA,Rwanda,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SAU,Saudi Arabia,Asia,Western Asia,location,National,Dietary needs,0.51,90.86,25.08,55.32,1.98,0.11,0.03,0.95,12.18,4.24,0.08,107.58,0,157.57,36.41
SAU,Saudi Arabia,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
SDN,Sudan,Africa,Northern Africa,location,National,Dietary needs,0.28,58.27,36.76,39.73,0.71,0.02,0.04,0.52,8.04,4.23,0.07,96.75,0,117.06,51.05
SDN,Sudan,Africa,Northern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SEN,Senegal,Africa,Western Africa,location,National,Dietary needs,0.26,21.44,43.21,18.91,1.99,0.02,0.09,1,7.53,2.7,0.1,93.34,0,107.86,24.21
SEN,Senegal,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SGP,Singapore,Asia,South-eastern Asia,location,National,Dietary needs,0.67,136.92,26.33,56.86,5.07,0.11,0.06,2.35,38.09,5.5,0.08,29.94,0,217.29,24.48
SGP,Singapore,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
SLB,Solomon Islands,Oceania,Melanesia,location,National,Dietary needs,0.28,70.45,36.98,6.82,0.01,0.02,0.02,0.46,8.76,2.59,0.18,82.43,0,29.76,18.24
SLB,Solomon Islands,Oceania,Melanesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
SLE,Sierra Leone,Africa,Western Africa,location,National,Dietary needs,0.17,56.7,79.89,5.95,2.24,0.01,0.02,0.65,3.02,2.69,0.11,67.4,0,109.25,25.54
SLE,Sierra Leone,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SLV,El Salvador,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.44,96.66,71.09,89.96,0.85,0.05,0.05,1.03,10.1,3.59,0.07,304.13,0.01,113.73,171.03
SLV,El Salvador,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
SMR,San Marino,Europe,Southern Europe,,,Dietary needs,,,,,,,,,,,,,,,
SOM,Somalia,Africa,Eastern Africa,location,National,Dietary needs,0.17,29.56,43.19,11.5,0.2,0.01,0.03,0.28,4.93,2.59,0.07,99.87,0,31.71,26.41
SOM,Somalia,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SRB,Serbia,Europe,Southern Europe,location,National,Dietary needs,0.61,97.84,43.2,87.38,2.14,0.06,0.04,1.87,30.16,4.62,0.08,96.96,0,202.41,20.32
SRB,Serbia,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
SSD,South Sudan,Africa,Eastern Africa,location,National,Dietary needs,0.3,58.52,60.99,21.29,1.15,0.02,0.03,0.7,9.25,2.6,0.07,96.44,0,67.68,21.42
SSD,South Sudan,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
STP,Sao Tome and Principe,Africa,Middle Africa,location,National,Dietary needs,0.29,57.62,50.63,16.55,1.84,0.02,0.02,0.93,9.92,2.7,0.08,97.46,0,78.71,23.37
STP,Sao Tome and Principe,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SUR,Suriname,Latin America and the Caribbean,South America,location,National,Dietary needs,0.34,126.96,17,48.87,0.72,0.09,0.15,1.46,14.25,3.09,0.06,190.25,0,103.06,88.88
SUR,Suriname,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
SVK,Slovakia,Europe,Eastern Europe,location,National,Dietary needs,0.53,94.16,14.22,95.28,2.39,0.06,0.05,5.51,46.56,4.61,0.09,111.05,0.01,197.04,18.75
SVK,Slovakia,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
SVN,Slovenia,Europe,Southern Europe,location,National,Dietary needs,0.82,136.74,15.96,159.74,3.05,0.08,0.06,6.39,45.33,4.63,0.1,91.38,0.01,140.31,18.64
SVN,Slovenia,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
SWE,Sweden,Europe,Northern Europe,location,National,Dietary needs,0.99,132.87,12.87,174.67,3.19,0.1,0.03,15.1,46.85,4.69,0.11,105.89,0,118.9,43.71
SWE,Sweden,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
SWZ,Eswatini,Africa,Southern Africa,location,National,Dietary needs,0.28,95.45,32.87,42.56,2.27,0.03,0.03,1.42,18.09,3.12,0.07,106.8,0,39.29,20.24
SWZ,Eswatini,Africa,Southern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SYC,Seychelles,Africa,Eastern Africa,location,National,Dietary needs,0.39,124.88,37.79,34.72,4.61,0.04,0.03,1.49,19.25,2.51,0.1,98.43,0,179.22,25.53
SYC,Seychelles,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
SYR,Syrian Arab Republic,Asia,Western Asia,location,National,Dietary needs,0.47,72.03,29.64,48.69,0.96,0.02,0.05,0.52,9.32,4.22,0.07,109.52,0,145.82,47.28
SYR,Syrian Arab Republic,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
TCD,Chad,Africa,Middle Africa,location,National,Dietary needs,0.25,15.09,110.05,18.3,3.34,0.01,0.01,0.93,11.37,2.7,0.07,85.45,0,19.9,24.42
TCD,Chad,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
TGO,Togo,Africa,Western Africa,location,National,Dietary needs,0.19,14.74,75.7,4.32,0.56,0.02,0.01,0.61,4.72,2.7,0.08,95.38,0,56.36,29.93
TGO,Togo,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
THA,Thailand,Asia,South-eastern Asia,location,National,Dietary needs,0.27,174.94,26.28,20.48,1,0.06,0.04,0.49,16.57,2.9,0.06,112.14,0,92.43,42.85
THA,Thailand,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
TJK,Tajikistan,Asia,Central Asia,location,National,Dietary needs,0.3,35.1,8.7,48.73,0.96,0.02,0.04,0.77,10.01,4.79,0.09,101.7,0,270.5,24.74
TJK,Tajikistan,Asia,Central Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
TKM,Turkmenistan,Asia,Central Asia,location,National,Dietary needs,0.59,91.63,4.14,136,0.72,0.05,0.01,5.9,48.7,4.79,0.11,77.62,0,315.28,19.92
TKM,Turkmenistan,Asia,Central Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
TLS,Timor-Leste,Asia,South-eastern Asia,location,National,Dietary needs,0.16,29.63,59.5,11.4,0.99,0.06,0.03,0.6,11.67,2.89,0.07,92.84,0,63.89,19.63
TLS,Timor-Leste,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
TON,Tonga,Oceania,Polynesia,location,National,Dietary needs,0.28,90.26,17.63,19.12,0.03,0.04,0.03,0.81,17.79,2.58,0.14,96.78,0,72.93,16.3
TON,Tonga,Oceania,Polynesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
TTO,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.51,114.87,51.24,93.6,2.36,0.1,0.14,2.02,13.65,2.86,0.07,196.26,0,65.04,81.62
TTO,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
TUN,Tunisia,Africa,Northern Africa,location,National,Dietary needs,0.6,116.91,50.01,101.27,5.8,0.04,0.05,0.73,10.08,4.22,0.05,102.33,0,384.44,41.26
TUN,Tunisia,Africa,Northern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
TUR,Turkey,Asia,Western Asia,location,National,Dietary needs,0.72,199.29,70.14,46.12,7.25,0.05,0.03,0.86,12.06,2.77,0.06,99.74,0,384.06,37.22
TUR,Turkey,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
TUV,Tuvalu,Oceania,Polynesia,,,Dietary needs,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,Africa,Eastern Africa,location,National,Dietary needs,0.27,101.36,123.31,28.64,1.55,0.02,0.03,0.62,6.95,2.58,0.07,84.62,0,77.1,21.67
TZA,United Republic of Tanzania,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
UGA,Uganda,Africa,Eastern Africa,location,National,Dietary needs,0.3,203.44,101.76,23.69,4.62,0.02,0.04,0.52,8.96,2.62,0.06,84.38,0,50.74,13.39
UGA,Uganda,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
UKR,Ukraine,Europe,Eastern Europe,location,National,Dietary needs,0.62,48.87,12.77,73.31,1.16,0.06,0.03,3.01,25.15,3.99,0.07,106,0,267.12,21.32
UKR,Ukraine,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
URY,Uruguay,Latin America and the Caribbean,South America,location,National,Dietary needs,0.71,113.64,17.29,155.36,0.37,0.09,0.07,5.71,44.97,4,0.09,57.65,0,105.01,14.99
URY,Uruguay,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
USA,United States of America,North America,Northern America,location,National,Dietary needs,0.89,114.23,17.04,181.46,10.93,0.11,0.08,18.12,48.98,5.04,0.1,48.8,0.01,172.43,24.92
USA,United States of America,North America,Northern America,location,Regional,Dietary needs,0.87,117.74,20.8,180.03,10.17,0.11,0.08,17.39,48.89,4.97,0.1,48.43,0.01,173.84,24.77
UZB,Uzbekistan,Asia,Central Asia,location,National,Dietary needs,0.6,71.71,0.62,49.56,2.15,0.04,0.03,2.01,27.52,4.78,0.08,88.35,0,425.75,22.14
UZB,Uzbekistan,Asia,Central Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.44,121.96,36.9,54.29,0.71,0.06,0.07,1.22,16.8,3.11,0.08,185.39,0,97.74,94.51
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,location,National,Dietary needs,0.42,141.81,32.85,41.6,0.34,0.11,0.1,1.8,28.43,3.62,0.08,293.55,0.01,126.91,183.23
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
VNM,Viet Nam,Asia,South-eastern Asia,location,National,Dietary needs,0.24,92.4,36.92,10.58,4.01,0.05,0.02,0.24,27.53,2.9,0.06,73.14,0,282.59,19.89
VNM,Viet Nam,Asia,South-eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
VUT,Vanuatu,Oceania,Melanesia,location,National,Dietary needs,0.26,66.05,25.22,16.71,0.05,0.02,0.02,0.55,14.08,2.58,0.11,95.12,0,70.52,17.33
VUT,Vanuatu,Oceania,Melanesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
WSM,Samoa,Oceania,Polynesia,location,National,Dietary needs,0.57,95.19,28.25,19.42,0.11,0.03,0.02,0.85,18.38,2.03,0.09,95.82,0,97.44,16.09
WSM,Samoa,Oceania,Polynesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
YEM,Yemen,Asia,Western Asia,location,National,Dietary needs,0.22,59.59,34.48,30.14,0.58,0.03,0.02,0.38,7.05,4.23,0.08,107.22,0,65.12,52.78
YEM,Yemen,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
ZAF,South Africa,Africa,Southern Africa,location,National,Dietary needs,0.27,45.12,19.28,51.76,0.38,0.08,0.08,1.42,29.87,3.21,0.06,101.86,0,85.74,13.21
ZAF,South Africa,Africa,Southern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
ZMB,Zambia,Africa,Eastern Africa,location,National,Dietary needs,0.15,16.2,46.39,7.46,0.86,0.02,0.04,0.73,7.2,2.6,0.06,81.42,0,54.92,31.98
ZMB,Zambia,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
ZWE,Zimbabwe,Africa,Eastern Africa,location,National,Dietary needs,0.16,20.17,37.93,23.83,0.37,0.02,0.09,0.54,9.31,3.19,0.07,92.89,0,27.58,13.99
ZWE,Zimbabwe,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1